areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Glendale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1500,1700,1750,1575,1400,1450,1450,,,,,1400,,1400,1388,1363,,1475,1550,1500,1695,1713,1638,1725,1450,,1775,1700,1700,1797,1800,1700,1750,1875,2000,2000,1800,1850,1825,1800,2000,1875,1875,1875,1899,2000,2000,1875,1863,2000,1900,2000,2078,2200,2200,2000,2000,2000,2000,2000,2000,1925,2023,2050,1999,2000,2000,2000,2150,2200,2100,2275,2000,2000,2050,2038,2000,2000,2000,2292,2246,2113,2000,2100,2200,2273,2200,2100,2100,2185,2175,2375,2400,2275,2200,2233,2200,2200,2225,2082,2013,2050,2000,2000,2000,2000,2100,2000,2225,2300,2000,2200,2200,2150,2199,2300,2300,2300,2500,2350,2350,2299,2199,2350,2350,2375,2500,2500,2575,2500,2500,2500,2400,2500,2400,2400,2375,2450,2400,2400,2500,2800,2699,2800,2763,2700,2699,2895,2675,2450,2725
Gowanus,Brooklyn,neighborhood,,1600,,,1800,,,,,2600,2200,2550,2400,2300,2675,2713,2500,3100,2920,3475,3475,3055,2950,3184,,,1925,2255,2255,2200,2650,2650,2850,2675,2600,2800,2538,2950,2950,3000,3050,3200,3050,2875,2950,2925,2873,2975,2975,3200,3500,3275,3200,3200,3031,2795,2600,3400,3650,3000,2825,2995,2850,3100,3350,3200,3250,3400,3250,3250,3250,3300,3400,3398,3150,3200,3231,3000,3000,3263,3000,3000,3046,3000,3100,3050,2800,2760,2900,2881,2880,3000,3000,2800,2776,2700,2753,2756,2660,2770,3200,3000,3200,3300,2780,2883,2855,2888,3110,2900,2656,2700,2847,3390,3000,2998,3483,3200,3200,3135,2783,3000,3300,3050,3000,2700,2650,2670,2825,2708,2700,2772,2600,2600,2595,2700,2800,2900,2913,2900,2850,3050,3048,3000,3450,3799,3600,3235,3940,4098,4295,3998,3700,3600,3715,3910,3863,3983,3900,3800,4000,3500,4025,4100,3964,3900,3795,3800,3850,3800,3900,4135,3913,3650,3895,3865,3875,4000,3999,4475,4425,4488
Gramercy Park,Manhattan,neighborhood,3100,3000,2995,3200,2995,2950,2900,3100,3200,3200,3450,3355,3195,3200,3100,3000,3050,3099,2950,2995,3450,3548,3500,3398,3495,3250,3250,3200,3395,3300,3273,3300,3425,3500,3500,3500,3295,3395,3500,3363,3498,3250,3395,3495,3500,3400,3500,3500,3495,3300,3385,3400,3355,3300,3300,3350,3350,3250,3395,3498,3550,3500,3300,3500,3500,3500,3500,3595,3750,3500,3500,3625,3693,3690,3650,3695,3800,3650,3600,3595,3500,3300,3297,3355,3460,3500,3500,3583,3600,3500,3495,3490,3495,3300,3200,3300,3450,3500,3513,3475,3795,3500,3590,3580,3700,3500,3550,3600,3513,3763,3800,3795,3995,4195,4295,4100,4107,3800,3800,3900,3995,3795,3800,3500,3475,3500,3395,3299,3228,3175,3100,3100,3000,2900,2895,2950,2973,3113,3380,3495,3800,4000,3975,4495,4625,4395,4500,4500,4395,4500,4583,4490,4598,4500,4395,4495,4650,4875,4600,4650,4600,4750,4500,4600,4750,4725,4738,4473,4600,4595,4973,4998,4750,4538,4600,4650,4695,4900,4938,4725,4850,5000
Gravesend,Brooklyn,neighborhood,,1519,1400,1388,,,,,,1325,1313,1300,1300,1275,1400,,,1475,1423,1498,1250,1359,1250,1263,1473,1373,,,1250,1410,1410,1500,1563,1250,1325,1495,1400,1375,1375,1413,1393,1400,1600,1700,1500,1550,1525,1500,1475,1450,1400,1400,1400,1400,1613,1716,1450,1495,1625,1600,1650,1688,1700,1700,1695,1625,1675,1700,1750,1750,1750,1675,1750,1725,1775,1850,1925,1985,1695,1775,1800,1825,1910,1773,1800,1895,1800,1800,1750,1800,1800,1713,1800,1710,1875,1735,1698,1700,1750,1799,1913,1799,1800,1850,1765,1950,1800,1738,1700,1713,1750,1750,1795,1742,1799,1799,1871,1900,1900,1800,1950,1950,1825,1775,1800,1813,1875,1800,1825,1776,1776,1700,1725,1750,1758,1750,1800,1800,1800,1810,1825,1850,2000,1875,1925,1969,2100,2099,2025,2300,2100,2000,2000,2000,2350,2325,2563,2300,2300,2400,2373,2373,2350,2300,2750,2500,2300,2370,3055,3060,3055,3095,3060,3080,2950,2800,3050,2988,2988,3140,3149,3139
Greenpoint,Brooklyn,neighborhood,2300,2225,2350,2300,2300,2300,2400,2500,2575,2700,2600,2500,1950,2200,2300,2425,2500,2500,2375,2400,2300,2495,2325,2500,2300,2300,2300,2600,2600,2500,2500,2700,2450,2650,2625,2700,2500,2650,2500,2650,2700,2798,2750,2800,2750,2950,2770,2695,2800,2900,2750,2850,3000,3000,2850,2850,2800,2800,2700,2597,2500,2500,2575,2700,2650,2600,2800,2850,2850,2800,2700,2700,2700,2695,2750,2838,2800,2800,2850,2900,2850,2813,2850,2800,2800,2800,2750,2750,2795,2900,2900,2795,2850,2703,2700,2595,2600,2595,2700,2750,2763,2995,3000,2950,2897,2800,2785,2800,2847,2799,2750,2850,3135,3100,3200,3320,3300,3100,2999,2975,3151,3300,3235,3125,3100,3000,2916,2995,2825,2700,2750,2700,2650,2799,2750,2806,2812,3000,3352,3400,3400,3400,3400,3500,3516,3599,3658,3795,3950,4200,4250,4200,4200,4253,4099,4099,3950,4000,4000,4015,4380,4400,4400,4500,4440,4300,4200,4250,4300,4350,4350,4400,4340,4500,4400,4500,4500,4525,4649,4650,4635,4635
Greenwich Village,Manhattan,neighborhood,3200,3200,2979,3000,3000,3000,3000,3000,3650,3800,3700,3563,3400,3500,3250,3250,3300,3200,3000,3600,3938,3950,3973,3950,3695,3650,3700,3750,3573,3495,3575,3700,3950,3750,3885,3675,3600,3795,3600,3500,3498,3450,3500,3498,3475,3550,3650,3666,3725,3800,3773,3673,3700,3500,3475,3500,3500,3895,3895,3895,3850,3700,3700,3625,3550,3500,3550,3800,3995,4150,4000,4050,4000,3895,3995,3900,3775,3785,3795,3795,3900,3900,3800,3825,3850,3795,3800,3800,3725,3595,3600,3500,3600,3593,3550,3525,3550,3795,3538,3625,3643,3800,3799,3700,3799,3695,3950,3895,4195,3795,3775,3698,3995,3800,4000,3995,4596,4650,4413,4298,4200,4000,4000,3700,3700,3540,3500,3329,3298,3200,3000,3002,3100,3200,3200,3100,3200,3500,3600,4040,3995,4298,4225,4248,4500,4400,4500,4398,4500,4600,4700,4900,5295,4775,5095,5200,5400,5198,4813,4973,5100,4995,4925,4863,4995,4995,5000,5200,4925,4750,4600,4995,5300,5300,4895,5095,5295,5500,5500,5400,5425,5400
Greenwood,Brooklyn,neighborhood,1775,1750,1700,1700,1800,1800,2000,2400,2500,2125,1999,1900,1900,1395,1950,2450,2450,2000,2000,2050,2125,2650,2400,2100,1948,2000,2000,2000,2000,1950,1950,2150,2125,2048,2200,2200,2100,2100,2150,2100,1850,2125,2175,2200,2400,2350,2225,2000,2000,2000,2188,2200,2200,2200,2200,2100,2150,2150,2200,2200,2200,2125,2125,2200,2200,2200,2300,2300,2300,2300,2295,2275,2200,2200,2200,2175,2200,2300,2300,2400,2200,2100,2100,2100,2198,2200,2197,2300,2300,2350,2300,2350,2300,2500,2450,2375,2190,2250,2400,2425,2550,2665,2673,2750,2600,2400,2395,2200,2250,2350,2299,2323,2492,2450,2499,2550,2398,2499,2500,2450,2499,2500,2550,2500,2500,2499,2400,2399,2200,2200,2050,2100,2100,2000,2000,2100,2213,2200,2299,2350,2350,2400,2399,2300,2400,2395,2500,2800,3000,2775,2800,3150,2895,3000,3199,3208,3259,3267,3195,3045,3395,3300,3100,3000,3100,3400,3400,3525,3312,3000,3000,3000,3275,3525,3300,3300,3200,3273,3323,3000,3125,3350
Hamilton Heights,Manhattan,neighborhood,1650,1700,1688,1800,1695,1750,1795,1750,1900,1875,1800,1800,1775,1688,1663,1650,1700,2050,2025,2000,2275,2200,2350,2400,2450,2100,1900,1875,1950,2175,1995,1925,1850,1960,2100,2150,1995,2100,2000,1997,2198,2100,2100,2100,2273,2100,2150,2000,2100,2100,2100,2125,2173,2100,2250,2250,2200,2250,2250,2288,2300,2400,2300,2275,2400,2500,2500,2500,2400,2295,2300,2400,2400,2400,2500,2400,2373,2300,2300,2350,2350,2338,2400,2450,2400,2375,2399,2400,2441,2500,2480,2400,2495,2400,2350,2325,2250,2200,2400,2571,2475,2400,2500,2500,2595,2428,2495,2400,2363,2400,2473,2500,2500,2548,2550,2600,2595,2438,2450,2425,2350,2500,2600,2695,2500,2500,2475,2395,2300,2348,2292,2292,2292,2250,2200,2250,2300,2300,2350,2350,2350,2400,2425,2500,2495,2500,2550,2599,2630,2795,2773,2750,2800,3000,2795,2600,2695,2650,2599,2650,2700,2800,2885,2970,2950,2750,2750,2700,2863,2800,2700,2750,2950,2950,2948,2850,2775,2750,2799,2823,2800,2800
Highbridge,Bronx,neighborhood,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,,,,,,,,,,,,,,,,,1525,1525,1525,1400,1250,1350,1275,1297,,1525,1250,1688,1500,1675,1348,1700,1900,1900,,1650,1650,1700,1700,1700,1638,1699,1600,1549,1650,1650,1650,1588,1625,1750,1800,1750,2030,1850,1790,1790,1885,1970,1800,1763,1800,1800,1775,1725,1800,1995,1950,1950,2161,2161,1850,1630,1636,1850,1948,1850,1675,1750,1800,1900,1935,1945,1800,1952,1902,1902,2000,1843,1825,1875,1799,1700,1650,1713,1852,1796,1880,1900,1902,1904,1850,1825,1698,1875,1904,,2072,2048,2095,2100,2100,2100,1895,1725,1760,2053,2100,2338,1900,2100,2300,2349,2275,2300,2375,2314,2299,2365,2050,2323,2125,2150,1978,2164,2475,2122,2425,2299,2073,2025,1995,2298
Hillcrest,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2425,2350,2375,2525,,,,,,,,,2550,,,,4075,3600,,,3350,3100,,3200,,2850,2500,2300,,,,,,,,,,,,2900,,,,,,,,,,,,,,,,,,,2200,,,,,,,,3985,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,
Hollis,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751,1618,1657,,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,3188,3188,,1995,1929,1950,1950,1929,1948,2033,,,1775
Howard Beach,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,,,,,,,,,,,,,,,,,,,2200,1950,,,1725,,,,,1800,,,,2000,1900,2000,,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,2300,2500,2490,,2200,2500,2500,2250,2200,2400,,,2600,,2500,,,,,2700,2550,,,,,,,,,,,2900,,,,
Hunts Point,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,,,,2125,,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3703,,,,,,
Inwood,Manhattan,neighborhood,1400,1395,1395,1395,1350,1349,1363,1450,1595,1595,1595,1600,1700,1595,1573,1600,1573,1395,1500,1468,1600,1625,1450,1510,1475,1450,1465,1453,1475,1545,1545,1550,1525,1499,1425,1450,1450,1400,1500,1413,1538,1700,1700,1675,1600,1725,1738,1725,1750,1588,1587,1650,1603,1650,1650,1700,1750,1750,1800,1650,1782,1750,1685,1850,1800,1898,1950,1950,1800,1925,1900,1900,1907,1795,1850,1950,1973,1850,1850,1825,1800,1795,1795,1798,1750,1800,1850,1875,1891,1850,1850,1850,1845,1845,1750,1795,1850,1850,1900,1900,1850,2000,2000,1938,1925,1975,1900,1875,1800,1952,1910,1950,1895,1963,2060,2050,2065,2100,2000,2000,2025,2050,1995,2075,2000,1900,1940,2000,1925,1875,1875,1850,1850,1900,1940,1899,1850,1800,1850,1850,1913,1950,1925,1950,2000,2050,2050,2198,2150,2044,2050,2125,2185,2008,2000,2000,2100,2000,2000,2100,2197,2197,2195,2198,2313,2250,2369,2350,2250,2300,2200,2150,2100,2100,2300,2473,2300,2238,2295,2300,2395,2395
Jackson Heights,Queens,neighborhood,1250,1250,1425,,,1363,1375,,,,,1525,,,1345,1345,1375,1375,1325,1450,1525,,1395,1500,1500,1500,1500,1440,1500,1500,1500,1500,1575,1700,1675,1600,1548,1600,1600,1650,1575,1500,1625,1500,1575,1600,1625,1600,1600,1725,1750,1750,1750,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1800,1800,1813,1800,1798,1800,1800,1800,1800,1750,1813,1800,1842,1863,1900,1875,1900,1913,1950,1950,1850,1850,1850,1850,1850,1850,1850,1900,1850,1900,1925,1900,1950,1895,1875,1850,1850,1950,1950,1950,1900,1795,1795,1799,1800,1850,1900,1992,1995,2100,2000,2000,1938,2000,1997,2099,2100,2000,2000,1982,2000,1999,1950,1950,1950,1875,1800,1800,1838,1850,1800,1800,1880,1923,1900,1900,2000,2100,2000,1900,1945,1900,2075,2113,2013,2100,2099,2200,2195,2200,2198,2100,2250,2275,2300,2300,2400,2499,2500,2499,2300,2313,2397,2400,2400,2400,2200,2222,2400,2400,2300,2395,2300,2298,2400,2600,2395
Jamaica,Queens,neighborhood,,,,,,,,,,,,,,1525,,,,,,,,,,,1750,1758,1758,1616,1616,1899,1758,,,,,,,,,1573,1595,1500,1545,1795,1650,1595,1688,1750,,,1595,,,,,,2000,1645,1695,1850,2150,,,1475,1600,1673,1625,1650,1575,1525,1750,1945,1800,1800,1972,1995,1875,,,1956,1854,1902,1902,1950,1903,1950,2010,2000,1975,2383,2450,1725,1763,2050,1828,1828,1995,1995,1995,1998,1946,2200,2383,2329,2275,2170,2170,2125,2170,2000,2125,2170,2170,2170,2170,2178,2200,2200,2200,2200,2188,2229,2263,2175,2075,1994,2111,1999,2002,2083,2105,2025,2163,2248,2000,2000,2125,2200,2225,2565,2313,2409,2442,2368,2390,2368,2405,2598,2682,2693,2698,2719,2625,2625,2695,2685,2695,2705,2665,2685,2737,2765,2718,2775,2820,2830,2895,2827,2915,2952,2953,2850,2915,3078,3050,3050,3050,3050,3100,2985,2964,3050
Jamaica Estates,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1625,1650,,1650,1700,1700,,1573,,1650,1695,1625,1699,1698,1650,1613,1638,1625,1650,1573,1550,1625,1700,1700,1900,1700,1700,1750,2025,2250,2195,1738,1795,1600,1750,1938,2998,2495,1995,1995,1875,1850,1800,1888,1800,1833,2545,2320,2273,2325,2288,1800,2192,1550,2098,1799,1785,1895,1895,1884,1849,1800,1750,1625,1785,1895,2075,2335,,1825,1850,1900,2005,1873,1960,1800,1850,1775,1960,2180,1905,1848,1928,1960,1935,1900,1850,1850,1825,1850,1850,1800,1850,2030,2165,2450,2600,2100,2050,2000,1985,1800,1825,1963,1675,1950,2150,2325,2175,2450,2150,2150,2095,2000,2037,2072,2000,2100,2188,2388,2500,2195,2100,2148,2279,2550,2499
Jamaica Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,1650,1588,1625,1925,2000,,2250,,,,,,,,,,,2400,2400,,,,,,,,,,,2150,1875,1795,1850,1895,2375,1850,,,,,,,,1750,,1750,1750,1825,1625,1750,1750,1895,1873,,1775,2275,1850,1975,1600,1613,,1575,1613,1650,1650,,2200,1950,1798,2250,2250,2250,1875,1650,1625,,1645,,1898,2650,2560,2075,2000,2000,2099,1876,2050,,2450,2175,1899,1967,1899,,1925,1899,,2448
Kensington,Brooklyn,neighborhood,1788,1663,1513,1613,,,,1700,1675,1600,1650,1600,,1650,2400,1700,1700,1688,1550,1600,1675,1638,1500,1550,1650,1525,1600,1800,1800,1600,1550,1650,1800,1825,1988,1700,1500,1500,1700,1650,1850,1650,1650,1750,1800,2000,2000,1800,1750,1695,1900,1900,1900,1900,1800,1750,1800,1950,1925,1863,1797,1829,1870,2000,2000,2000,2100,2000,2100,2225,2195,2100,2100,2000,2000,2100,2049,2000,2100,2163,2100,2150,2100,2100,2100,1960,1895,1900,1950,2000,2100,2050,2000,2050,2000,2000,2095,2100,2100,1995,1995,2000,2200,2199,2100,2000,2095,2100,2100,2150,2000,2200,2100,2100,2250,2295,2349,2175,2200,2000,2100,2295,2250,2249,2150,2200,2165,2100,2000,1900,1880,1880,1875,1850,1800,1795,1800,1900,1990,2100,2250,2199,2050,2100,2250,2225,2245,2249,2563,2650,2650,2620,2600,2500,2300,2550,2470,2500,2646,2800,2650,2500,2500,2500,2700,2400,2300,2388,2500,2700,2705,2800,2800,2750,2629,2700,2595,2500,2690,2700,2600,2799
Kew Gardens,Queens,neighborhood,1500,1425,1463,1438,1425,1350,1438,1450,,1399,,,,1725,1500,1412,1300,1375,,1450,1450,1450,1468,,1485,1525,1500,1438,1750,2100,2250,2877,2995,3046,2225,2150,1650,1673,1648,1575,1750,1900,1900,1850,2000,1800,1733,1800,1850,1750,1550,1550,1650,1650,1650,1950,1755,1700,1650,1695,1725,1725,1750,1850,1850,1750,1850,1950,1913,1950,1900,2000,2000,1800,1800,1900,1950,1963,2000,2000,1825,1850,1900,2000,1975,1900,1950,2000,1850,1850,1850,1950,1888,1950,2000,2000,2000,1850,1950,1895,1850,2000,1898,1875,1825,1885,1850,1998,1850,1895,1900,1998,2057,2062,1975,1975,1900,1875,1843,1875,1895,2000,1965,1953,1850,1825,1850,1825,1878,1800,1900,1800,1875,1900,1870,1800,1800,1850,1895,1900,1895,1950,1995,2078,2050,1999,1999,1975,2000,2098,2099,2150,2150,2200,2300,2300,2300,2250,2100,2125,2200,2295,2350,2393,2450,2495,2400,2423,2375,2398,2495,2650,2650,2700,2595,2420,2400,2400,2395,2495,2495,2448
Kew Gardens Hills,Queens,neighborhood,,,,,,,,,1798,,,,,,,,,,,,,,,,,,1363,1450,1573,1573,,,,,,1623,,,,1695,1695,,,,,1875,1700,1750,2150,1925,2075,1950,1800,1800,1725,2075,1775,2175,2100,1800,1750,1725,1550,1738,1950,1844,1950,1850,1775,1950,1950,1913,1925,1875,1950,1955,1788,1900,1950,2050,2045,2013,2000,2007,1975,1975,1975,1950,1925,1875,1811,1975,1975,1975,1975,1850,1900,1875,1895,2000,2000,2000,1899,1875,2000,2000,1983,1853,1895,2013,1878,1856,1833,2025,2008,1929,1950,1985,1925,1810,1925,1898,1898,1810,1810,2150,2100,2000,1880,1978,1950,1825,1900,1900,1900,1999,2012,1950,2050,1750,2050,2000,2025,1999,2150,2200,2000,2225,2075,1999,2095,2300,2375,2400,2600,2400,2300,2299,2300,2200,2450,3200,2875,2980,2999,2999,2800,2500,2850,2800,2563,2550,2700,2500,2599,2599,2500,2200,2750,2225,2533,2800
Kingsbridge,Bronx,neighborhood,1184,1193,1300,1300,1200,1200,,,,,,,,,,,,,,,,,,,,2150,2165,2225,2350,,,1750,1750,1525,1388,1300,1325,1295,1295,1250,1150,1150,1248,1555,1610,1610,1500,1450,1450,1200,1350,1500,1550,1630,1548,1450,1348,1350,1400,1500,1450,1500,1475,1400,1475,1450,1475,1625,1625,1500,1575,1600,1550,1500,1600,1675,1695,1700,1800,2017,1850,1900,2000,2000,1925,1600,1750,1697,1919,1625,1625,1700,1625,1750,1750,1725,1550,1625,1775,1950,1900,1838,1750,1763,1800,1750,1750,1695,1673,1828,1888,1850,1963,1825,1750,1885,1895,1825,1700,1813,1838,1775,1850,1900,1700,1785,1813,1750,1797,1790,1900,1788,1850,1799,1775,1800,1800,1800,1800,1950,1888,1750,1700,1725,1650,1750,1923,1863,1900,2107,1995,1875,1775,1910,1885,1895,2000,2213,2012,2175,2138,2243,2395,2399,2425,2399,2387,2100,2182,2117,2050,2425,2550,2696,2600,2524,2695,2495,2500,2200,2450,2400
Laconia,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurelton,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Italy,Manhattan,neighborhood,3295,3050,3000,2999,2885,2600,3700,3795,5200,4750,4800,4750,4725,4450,4725,2900,2975,3075,3700,3995,4175,3500,2950,2950,3500,3450,3548,3450,2875,2599,2499,2500,2800,2575,3700,4125,4000,3950,3500,4650,3650,3300,3400,3198,3125,3100,3175,3225,3250,3498,3500,3148,2875,3250,3400,3700,2750,2650,2500,2500,2647,2799,2895,2895,3000,2800,3099,3600,3500,3000,3495,3600,3400,3075,2800,2838,3100,3100,3500,3500,3300,3050,3150,3150,3050,3100,3050,3000,2799,2800,2800,3000,2795,2700,2795,2613,2600,2600,2998,3000,3045,2848,2900,2795,2700,3100,3150,3000,3200,3048,3000,3550,3350,3400,3200,3563,3450,3400,3350,3300,3200,3460,3473,3424,3200,3200,2995,2750,2900,2700,2675,2625,2398,2398,2400,2700,2500,2775,2739,2900,2838,2995,2995,2995,3200,3500,4000,4000,4098,4200,4000,3750,3995,4247,3900,3995,3875,4000,4650,4400,4000,4200,3998,4000,3973,4495,4417,3795,3495,3798,3795,3895,3697,4200,4050,3973,3947,3773,3950,4400,3999,3999
Little Neck,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098,,,,,,,
Long Island City,Queens,neighborhood,2325,2500,2525,2600,2700,2725,2678,2680,2758,2735,2700,2715,2668,2650,2750,2775,2850,2875,2940,2905,3000,2900,2900,2788,2800,2930,2915,2938,2850,2885,2885,2875,2900,2900,2903,2860,2798,2838,2850,2995,2995,2995,2950,2900,2825,2778,2998,3063,3024,2950,2800,2800,2785,2730,2673,2750,2895,2995,2995,2997,3000,3025,2950,2978,2950,3100,3100,2995,2995,2915,2923,3000,2995,3000,3109,3100,3150,3165,3150,3100,3058,2980,2960,2995,3035,3021,2986,2998,2950,3000,3060,3100,3000,2900,2829,2830,2828,2895,2947,2900,3025,3102,3129,3116,3205,3100,3095,3100,3051,3000,3084,3192,3250,3272,3300,3390,3305,3328,3276,3200,3161,3155,3195,3141,3100,3090,2995,2914,2876,2999,3000,2980,2950,2950,2936,2963,3019,3198,3260,3400,3485,3530,3600,3695,3600,3675,3735,3995,4100,4095,4054,4000,3960,3880,3900,3871,3850,4000,4073,4098,4259,4000,4100,4245,4270,4203,4000,4035,4000,3950,4042,4022,4105,4100,4300,4350,4360,4315,4305,4473,4275,4290
Longwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1575,,1563,,,,,,,,,,,,,1650,1550,,2088,,,2028,2065,2175,2000,2025,1923,,,,,,,,,,,,,,2025,2049,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower East Side,Manhattan,neighborhood,2295,2250,2295,2250,2495,2400,2400,2500,2595,2500,2500,2600,2500,2500,2400,2395,2395,2400,2495,2595,2700,2700,2660,2300,2423,2650,2800,2973,2750,2750,2695,2695,2795,2750,2850,2998,2873,2993,2899,2895,2845,2825,2795,2795,2898,2850,2795,2800,2846,2750,2800,2795,2800,2950,2950,3000,3000,2995,2995,3000,2998,2995,2850,2895,2995,3100,3150,3195,3225,3000,3000,3000,3000,3000,2995,3050,3200,3313,3295,3300,3295,3071,3050,2900,2895,3100,3000,3000,3200,3150,3200,3195,3095,3000,2993,2950,2970,2950,3010,3200,3250,3200,3250,3300,3300,3300,3300,3250,3200,3250,3250,3400,3575,3600,3450,3500,3550,3600,3662,3700,3800,3900,3910,3693,3458,3197,3000,2990,2800,2800,2795,2750,2750,2700,2760,2807,3000,3100,3250,3450,3500,3498,3600,3695,3936,3995,4099,4144,4295,4200,4253,4253,4395,4100,3950,4000,4200,4295,4200,4250,4200,4395,4300,4200,4352,4150,4000,4000,3995,4000,4200,4295,4450,4400,4500,4450,4373,4173,4248,4298,4495,4360
